Job Title,Company,Posted Date,Number of Applicants,Seniority Level,Job Function,Company Industry,Detail Desc,Employment Type
Data Engineer,PT. SURYA MADISTRINDO,5 hours ago,73 applicants,Entry level,Information Technology,Tobacco,"At PT Surya Madistrindo (Subsidiary of PT Gudang Garam Tbk), We make a lot of incredible things. But most importantly, we make the future, and are looking for people to join our Information Technology team of future shapers.
When you join PT Surya Madistrindo, you become a member of our performance culture comprised of diverse leaders, thinkers, innovators, dreamers and doers who are changing the future. Our people are committed to each other and to the realization of our vision through their unique job functions. Our businesses embrace the challenges of innovation so that we define the future.

Fresh graduated from any major are welcome, if you had 1 – 2 years experience is a plus. We need person that adapt to new technologies and passionate to learn. 
You will not only learn from mentor who will help you meets passing grade and get ready to accelerate with us, but also to meet productivity, quality, and customers satisfaction goals and objectives.
WHO ARE WE LOOKING FOR?

DATA ENGINEER
  YOUR RESPONSIBILITY
·        Engaged in the full development life cycle such as developing, testing, deploying, maintaining, problem solving, and monitoring applications.
·        Conducting research on the latest technology to support user needs.
·        Daily progress report via project tools.
·        Do coding accurately and effectively as given standards.
  WHO ARE WE LOOKING FOR?
·        Basic knowledge in SQL and PL/SQL.
·        Basic knowledge in RDBMS : MySQL/ Oracle/ SQL Server.
·        Basic analytical and problem solving skills.",Full-time
Data Engineer,Danone,3 days ago,108 applicants,Not Applicable,Information Technology,Consumer Goods,"About The Job

Data engineers are responsible for finding trends in data sets and developing algorithms to help make raw data more useful to the enterprise. Mainly tasked with transforming data into a format that can be easily analyzed, developing, maintaining, and testing infrastructures for data generation and work closely with data scientists
Create and maintain optimal data pipeline architecture and actively participate in design and data model reviews providing constructive feedback to platform owners
Ensure changes to the data environment are compliant to the architectural standards and collaborate with data governance owners to uncover and define business requirements
Data Engineering,
Identify, design, and implement internal process improvements automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and Azure or AWS ‘big data’ technologies.
Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics.
Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.
Keep our data separated and secure across national boundaries through multiple data centers
Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.
Work with data and analytics experts to strive for greater functionality in our data systems

About You
Computer Science, Statistics, Informatics, Information Systems or another quantitative field
5+ years of experience in a Data Engineer role
Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.
Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.
Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
Strong analytic skills related to working with unstructured datasets.
Build processes supporting data transformation, data structures, metadata, dependency and workload management.
A successful history of manipulating, processing and extracting value from large disconnected datasets.
Working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores.
Strong Agile project management and organizational skills
Experience with big data tools Hadoop v2, Spark, Kafka, Hive, HBase etc.
Experience with relational SQL and NoSQL databases, including Postgres and MongoDb.
Experience with data pipeline and workflow management tools Azkaban, Luigi, Airflow, etc.
Experience with both On-Premise Microsoft SQL Server and Azure SQL and Data Services platforms
Experience with stream-processing systems Storm, Spark-Streaming, etc.
Experience with object-oriented/object function scripting languages Python, Java, C++, Scala, etc.
Experience reading and building data models
Proficient working in a fully Agile (SCRUM) environment
Excellent communication and facilitation skills
Team oriented collaboration skills
Experience with Power BI preferred

About Us

Danone's mission is bringing health through food to as many people as possible and we want to invite people to join the movement for a healthier world. We recognize the power people have to impact the world through their daily choices. Each time wa eat and drink, we vote for the world we want to live in. We believe a healthy body needs healthy food, and healthy food needs a healthy planet and this is what our new signature One Planet One Health embodies.",Full-time
Data Engineer,Tata Consultancy Services,1 week ago,52 applicants,Mid-Senior level,Information Technology,Information Technology and Services,"Qualification:
Min 3 years Experience in same field
Have Insurance background is a plus
Interested on Data Visualization
Deep knowledge on SQL
Experience on ETL development for at least 5 years (Talend!)
Experience on query tuning
Understanding of RDBMS and Data warehouse concept
Involved in Data Quality project would be preferable
Solid knowledge on java API programming would be an added value",Full-time
Data Engineer,Flash Coffee,2 days ago,Be among the first 25 applicants,Entry level,Information Technology,Food & Beverages,"Do you love coffee & tech put together? Then you just might love Flash Coffee.

Flash Coffee is South East Asia's fastest-growing tech-enabled coffee chain, blending an award-winning coffee menu with affordable prices available in-store and via our app.

Already operating in Jakarta, Bangkok, and Singapore and backed by Rocket Internet (known for incubating the likes of foodpanda, Lazada, Zalora, and more), and Delivery Hero, a global multinational in the online food-delivery space covering over 40+ countries, we have the ambition to become one of Asia's largest coffee chains.

What You'll Do
Owning the data environment to be used as single source of truth for analysis within the company.
Design, build, and maintain data pipeline and data connections to and from external source including but not limited to Vendor API, FTP, and other related external source connections.
Work together with the Tech team, to help improve the quality and the structure of the productions data.
Liaise with other team to help automate and improve the quality of work from the related team related to to the data.
Document the process, the code, the definition, and the structure of the data environment.
Maintain the job scheduler to make sure that the data is always available and in perfect quality.
Promote a data-driven culture and enforce data governance and security.


Who You Are
You have a minimum of 2 years of experience with SQL and Python is a must
Analytical mindset
Understanding data warehouse concept


What We Offer
A vibrant and international team
Regular company and team events
Being part of a fast-growing startup with a lot of responsibilities from day one",Full-time
Data Engineer,CIMB Niaga,1 week ago,123 applicants,Mid-Senior level,Information Technology,Banking,"Job Description:

Perform application system development related to Realtime Engine System, Big Data, Kafka, CDC, & Abinitio Platform
Ensure that the development process is in accordance with the timeline
Follow / comply with applicable application system development policies and procedures

Technical Requirements:
Application system development (Familiar with Abinitio Platform (ETL/CIP), Kafka Claudera, CDC Technology)
Application system development (familiar with Java, .Net, SQL, SSIS/ETL, Oracle, etc)
Application Maintenance
Application System Analysis & Design
Banking Applications & Operations
Banking Information & Technology for End User
Computer Operating platform & System Application
IT Policy & Procedures
IT Quality Assurance
Having some Analytic tools skill such as R , Python are advantages


Requirements:

Minimum Bachelor Degree (S1) Majoring Computer Science, preferably reputable university
Minimum 1 years experienced as Programmer and involve in IT Project
Willing to located in Bintaro / Alam Sutera, Tangerang Selatan

Currently We are still in WFH during pandemic


 ",Full-time
Data Engineer,Xiaomi Indonesia,3 weeks ago,Over 200 applicants,Mid-Senior level,Analyst,Internet,"Xiaomi was founded in 2010 by serial entrepreneur Lei Jun, who believes that high-quality technology doesn't need to cost a fortune. We create remarkable hardware, software, and Internet services for and with the help of our users. Our marketing strategy is not conventional - we believe in being the coolest company in the hearts of our users, and for us, marketing strategy needs to be out-of-the-box and ambitious, but also highly focused on driving results.

We are looking for a Data Engineer who will be primarily responsible to Build and maintain database system in Sales Operation Dept. Their goal is to build Xiaomi into a mainstream consumer brand through a defined, creative, and cost-effective strategy.

Responsibilities:
Build and maintain database system and model for dashboard and report visualization
Create analytics tools that utilize the data pipeline to provide actionable insights into key business performance metrics
Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, optimizing data flow, re-designing infrastructure, etc.
Set and maintain the groundwork and data infrastructure for a longer term growth of the company
Identify ways to improve data reliability, efficiency, and quality
Optimize data retrieval or collection from various systems for cross-functional teams


Requirements:
Bachelor degree in computer science, IT, engineering, applied mathematics or other related fields      
1-3 years of professional experience as a Data Engineer, Data Warehouse, Business Intelligence
Good communications skill in English and Bahasa Indonesia to work across departments to understand what business leaders want to gain from the company’s large datasets
Experience in multiple programming languages such as Python, C++, Java, and SQL
Experience in Power BI or similar BI environment is highly preferred
Advanced knowledge and experience working with complex ETL, unstructured datasets, and data warehousing tools
Track record of manipulating, processing and extracting value from large disconnected datasets.
Strong analytical and problem-solving skills
Adaptable and enjoy working in a fast-pace environment
Tech enthusiast, self-starter, critical thinker, problem-solver, and passionate individual
Prior experiences in smartphone, e-commerce, telecommunication & media, retail & marketing, sales & distribution, and technology are plus point",Contract
Data Engineer,Bibit.id,2 days ago,Be among the first 25 applicants,Associate,Information Technology,Financial Services,"Company Description

Bibit.id is a platform to help you to start your investment in mutual fund in a very simple way.

Job Description

We are looking for a Data Engineer to develop, construct, test and maintain architectures, such as databases and large-scale processing systems. The data engineers will need to recommend and sometimes implement ways to improve data reliability, efficiency, and quality. This position will need to ensure that the architecture that is in place supports the requirements of the data scientists and the stakeholders, the business.

Responsibilities
Construct and maintain efficient data pipelines + warehouses for data collection
Develop necessary scripts/mini-apps to run data analysis
Conduct tests on large scale data platforms.
Provide recommendations to improve data quality.
Ensure and support the data architecture utilized by data scientists and analysts.
Development of data processes for data modeling, mining, and data production.
Requirements

Qualifications
Working experience of at least 2 years with exposure to Big Data, Real-time data pipelines, ETL processes and supporting tools/framework such as Airflow etc
Experienced in Cloud Service environment, especially GCP + BigQuery. Skill in other Cloud Services is a big plus.
Experienced third party behaviour analytics tools such as Firebase / Moengage / CleverTap etc
Experienced in working with RDBMS & Non-RDBMS datastores.
In conjunction with the requirement above, excellent skills in writing efficient querying language especially SQL
Experienced in utilizing popular Visualization Tools such as Tableau / Holistics / Metabase etc
Skilled in Python programming
Skilled in Pig Latin is a plus
Understand how to analyze & utilize data in order to provide value/insights for company decision making.
Good Teamwork & Communication skill",Full-time
Data Engineer,Accenture Southeast Asia,24 hours ago,Be among the first 25 applicants,Mid-Senior level,Design,Information Technology and Services,"Accenture is a leading global professional services company, providing a broad range of services in strategy and consulting, interactive, technology and operations, with digital capabilities across all of these services. We combine unmatched experience and specialized capabilities across more than 40 industries - powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. With 505,000 people serving clients in more than 120 countries, Accenture brings continuous innovation to help clients improve their performance and create lasting value across their enterprises. Visit us at www.accenture.com.

Role Summary:

There will never be a typical day at Accenture, but that’s why people love the dynamism. The opportunities and initiatives to make a difference, doing good for the public, are unlimited in the ever-changing digital landscape. Here are just a few of your day-to-day responsibilities:


Understand our customers' core business objectives and build end-to-end data centric solutions to address them


Collaborate with technical business analyst, to understand business requirements, data, and optimize data pipeline performance.


Build solutions in big data and data management tools meeting projects’ requirements


Construct code with good coding standard and practices to ensure high quality and minimum risks


Closely working with project manager and technical leads to provide regular status reporting and support them to identify blockers for quick resolution.


Basic Skills and Qualifications:


Experience with Data Engineering or Big Data Technologies, or Data Transformation, and data modelling

Experience in architecting and building scalable data platforms.


Experience with Informatica or other related data Integration tools


Experience with Cloud Technologies (Data Lake, Azure, Google, AWS etc.) or experience with open source technologies (Spark, Kafka, Presto, Hive, Cassandra etc.)


Experience with SQL and/or NOSQL databases


Preferred Skills and Qualifications:


Production implementation experience for all qualifications listed


Production experience in building real-time analytics applications


Experience in both batch and stream processing technologies


Experience with 2 of 3 - Java, Scala, and Python programming languages


Machine learning experience with Spark or similar


Certified Data Engineers or Solution Architect in 1 or more Cloud Technologies (AWS, GCP, Azure)


Ability to manage numerous requests concurrently and be able to prioritize and deliver


Good communication skills


Dynamic team player


Bachelor’s or Master’s Degree


You will also have opportunities to hone your functional skills and expertise in an area of specialization. We offer a variety of formal and informal training programs at every level to help you acquire and build specialized skills faster. Learning takes place both on the job and through formal training conducted online, in the classroom, or in collaboration with teammates. The sheer variety of work we do, and the experience it offers, provide an unbeatable platform from which to build a career.

Accenture is an equal opportunities employer and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, gender identity, or any other basis as protected by applicable law.
Accenture is an equal opportunities employer and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, gender identity, or any other basis as protected by applicable law.",Full-time
Data Warehouse Engineer - GoPay,Gojek,1 week ago,120 applicants,Entry level,Business Development,Computer Software,"About The Role

At Gojek, engineering is central to everything we do: bringing our ideas to life and into the lives of our users. As our Data Warehouse Upstream Developer, you’ll be an instrumental cog in GoPay’s Data & BI wheel at Gojek that impacts the company’s analytical data infrastructure. You’ll take the reins in designing, developing, setting up, and managing our data infrastructure - one that needs to operate reliably at scale using a high degree of automation.

You’ll also play an active role in ensuring the data governance policies and tools are implemented and adhered to. Product managers, engineers, BI/analytics, and data scientists will be your companions during this ride. Best yet, you’ll have ample opportunity to flex your data/software engineering and communication skills, helping the team build a large, scalable data engineering platform that'll be utilize company-wide.

What You Will Do
Understand business concepts and goals, and use them effectively to scope data projects
Design, maintain, and govern scalable and reliable services for data consumption from various sources
Handle and include data extraction process into the data lake in the data warehouse
Diagnose and solve data issues in our data pipelines; look for the root cause of problems and envision a long term solution for these issues
Work closely with the data stakeholders (Data Warehouse Downstream, Analyst, Growth etc.) to come up with a working data solution and accommodate their data needs
Consult with product team and data engineers to ensure the developed solutions match business needs
Contribute to the product strategy and execute the prioritized roadmap for your team
What You Will Need
At least 7 years of experience in data engineering, software engineering, or data warehouse development
A passion for writing code to solve any data problems, preferably in Python; experience in Java and Go is a plus
Meticulous ability to read others’ complex code and documentation
Expert proficiency in SQL in any platforms
Experience in cloud data warehouses (BigQuery, Redshift) is a plus
Basic knowledge in real-time data processing; experience in Apache Kafka, Apache Flink is a plus
Basic knowledge of containerization (Docker, Kubernetes) and CI/CD (Gitlab CI)
Experience in wide-range of ETL systems (Apache Airflow, Pandas, RDBMS, Debezium, etc)
Experience in cloud infrastructure (e.g. GCP, AWS)

About The Team

Our Data & BI team consists of Data Warehouse Developers (Upstream & Downstream), Data Governance Analysts, and Data Science Engineers spread out across Indonesia. Working alongside the analytics, product, and engineering teams, we are predominantly concerned with providing data tools to fulfill various business needs, including the standardized data warehouse pipeline and data democratization project. For instance, should you have a question about how the data you’ve collected can be best utilized in achieving your team’s goal, we are your people! Currently, our team has been busy working on implementing the group-wide data warehouse model, which will help Gojek in synchronizing the data-services standard across the company.

As these are strange and unprecedented times we’re living in, our team has been prioritizing a healthy work-life balance more than ever before. We are a tight-knit group made up of culinarians, Netflix enthusiasts, and avid bookworms. We work hard and play hard, and believe it or not, we actually enjoy each other’s company!

About Us

Gojek is a Super App. It’s one app for ordering food, commuting, digital payments, shopping, hyper-local delivery, and dozen other products. It is Indonesia’s first and only decacorn. It's also the only Southeast Asian startup to be part of Fortune's list of 'Companies That Changed The World.'

Our Mission: To create and scale positive socio-economic impact for our customers, driver-partners, business and MSMEs.

As of 2018, Gojek processed more than $9 billion annualised gross transaction value across all markets where it operates - in Singapore, Thailand, Vietnam and Indonesia. We have the largest food delivery product in Asia, (outside of China), and the largest payments wallet in Southeast Asia.

Our investors include Google, Facebook, PayPal, Sequoia Capital, Tencent Holdings among others.

Gojek is committed to building a diverse and inclusive workplace and is an equal opportunity employer. We do not discriminate on the basis of race, religion, national origin, gender, gender identity, sexual orientation, disability, age, education status, or any other legally protected status.",Full-time
Data Engineer,PT Bank Jago Tbk,1 week ago,Be among the first 25 applicants,Entry level,Information Technology,Financial Services,"We are seeking a hands-on senior data engineer to help us build out and manage our data infrastructure, which will need to operate reliably at scale using a high degree of automation in setup and maintenance. The role will involve both setting up and managing the data infrastructure, as well as building and optimizing key ETL pipelines on both batch and streaming data. The ability to work with the teams from product, engineering, BI/analytics and data science is essential. Ownership needs to be taken of data model design and data quality. Automation and the use of data science to manage and improve data quality would be valued. The individual will also play active roles in ensuring data governance policies and tooling are implemented and adhered to

The individual will also need to be able to manage multiple stakeholders at an executive level and make well informed architectural choices when required. A high degree of empathy is required for the needs of the downstream consumers of the data artefacts produced by the data engineering team, i.e. the software engineers, data scientists, business intelligence analysts, etc and the individual needs to be able to produce transparent and easily navigable data pipelines. Value should be assigned to consistently producing high quality metadata to support discoverability and consistency of calculation and interpretation.

Candidates should have a wide set of experience across the following systems and languages:

Apache Kafka
Apache Flink
Apache Airflow
Cloud data warehouses such as Redshift or BigQuery
Python and Java",Full-time
